VARIABLES="N"	"C<sub>d</sub>"	"1/sqrt(DOF)"	"C<sub>d</sub> Error"	"Work Units"
ZONE T="NUDT Quad WCNS-E-5 P4"
0	0	0	0	0

ZONE T="NUDT Quad MUSCL P1"
0	0	0	0	0


ZONE T="Fun3D Tri SUPG P1"
0	0	0	0	0

ZONE T="Fun3D Tri SUPG P2"
0	0	0	0	0

ZONE T="Fun3D Tri SUPG P3"
0	0	0	0	0

ZONE T="COFFEE Tri SUPG P1"
2128	0.017673	0.0216777492	0.0072404433	0
8352	0.0113629696	0.0109422027	0.000930413	0
33088	0.0105318666	0.0054974937	0.00009931	0
131712	0.0104545205	0.002755417	2.19638427351194E-05	0

ZONE T="LiU SBP Quad P1"
0	0	0	0	0

ZONE T="LiU SBP Quad P2"
0	0	0	0	0

ZONE T="LiU SBP Quad P3"
0	0	0	0	0

ZONE T="LiU SBP Quad P4"
0	0	0	0	0

ZONE T="CARDC DG Quad P1"
0	0	0	0	0

ZONE T="CARDC DG Quad P2"
0	0	0	0	0

ZONE T="CARDC DG Quad P3"
0	0	0	0	0


ZONE T="UM DG Tri P1"
3072	0.02207068	0.0180421959	0.01163568	1.759453
12288	0.012949609	0.009021098	0.002514609	6.588273
49152	0.0106804016	0.004510549	0.0002454016	38.11873
196608	0.0104172724	0.0022552745	1.772758E-05	283.5328

ZONE T="UM DG Tri P2"
6144	0.012406034	0.0127577591	0.001971034	3.270753
24576	0.0104218559	0.0063788795	1.314407E-05	13.45792
98304	0.0104128934	0.0031894398	2.21066E-05	69.62728
393216	0.0104309016	0.0015947199	4.098384E-06	432.9163

ZONE T="UM DG Tri P3"
10240	0.0106884706	0.0098821177	0.0002534706	5.775271
40960	0.0104374901	0.0049410588	2.490145E-06	23.89804
163840	0.010435032	0.0024705294	0.000000032	120.823
655360	0.0104350509	0.0012352647	5.089702E-08	650.1253


ZONE T="MIT DG Quad P1"
2048	0.0251214389	2.20970869120796E-002	2.51214389E-02	1.9474761942
8192	0.0131191137	1.10485434560398E-002	2.68655709E-03	11.5720160013
32768	0.0106711489	5.52427172801990E-003	2.38592289E-04	9321.4092876304
131072	0.0104037095	2.76213586400995E-003	2.88471184E-05	22446.7482262138
524288	0.0104071972	1.38106793200498E-003	2.53594330E-05	380754.742356577


ZONE T="MIT DG Quad P2"
4608	0.0127420299	1.47313912747197E-002	2.30947325E-03	6.7531840929
18432	0.0104807904	7.36569563735987E-003	4.82337949E-05	43.8817480587
73728	0.010423066	3.68284781867994E-003	9.49064095E-06	12469.9920746725
294912	0.0104321231	1.84142390933997E-003	4.33489714E-07	21858.7216779355


ZONE T="MIT DG Quad P3"
8192	0.0108394328	1.10485434560398E-002	4.06876160E-04	26.0195290611
32768	0.0104285463	5.52427172801990E-003	4.01034396E-06	175.681202761
131072	0.0104325961	2.76213586400995E-003	3.94497301E-08	39256.2145818496
524288	0.0104325786	1.38106793200498E-003	2.19900025E-08	49554.7812515491


ZONE T="MIT DG Quad P4"
12800	0.0104615146	8.83883476483184E-003	2.89579308E-05	82.9598415562
51200	0.0104322407	4.41941738241592E-003	3.15908245E-07	459.7821810338
204800	0.0104326567	2.20970869120796E-003	1.00039639E-07	128987.522749706


ZONE T="UM DG MOESS P1"
1401	0.011768207	0.0267165843	0.001333207	0.3766197
2151	0.00881172	0.0215615409	0.00162328	1.082034
3096	0.0110255725	0.0179721289	0.0005905725	2.194481
4563	0.013999039	0.0148038531	0.003564039	4.52512
5157	0.015247978	0.0139251998	0.004812978	13.99906
5250	0.019728105	0.0138013112	0.009293105	17.55946
5148	0.018835624	0.0139373668	0.008400624	20.5658
5238	0.014395267	0.0138171112	0.003960267	23.74978
5385	0.0109067291	0.0136272162	0.0004717291	27.05575
5445	0.0106184102	0.0135519271	0.0001834102	30.43346
5277	0.010676009	0.0137659584	0.000241009	33.69493
5277	0.010676009	0.0137659584	0.000241009	33.74295
7476	0.0105705191	0.0115655251	0.0001355191	37.27819
9987	0.0104730252	0.0100065063	3.802515E-05	43.21465
10266	0.0104688817	0.0098695959	3.388169E-05	50.66897
10371	0.0104843254	0.009819507	4.932538E-05	58.30688
10617	0.0107958408	0.0097050794	0.0003608408	67.06049
10848	0.010955534	0.0096011922	0.000520534	75.90859
10893	0.010736066	0.0095813399	0.000301066	85.27607
10842	0.0105029697	0.0096038485	6.796974E-05	94.3214
10668	0.0104739038	0.0096818533	3.890382E-05	103.665
10512	0.0104860372	0.0097534289	5.10372E-05	112.2834
10512	0.0104860372	0.0097534289	5.10372E-05	112.378
14679	0.0104635331	0.0082537586	2.85331E-05	124.2998
19563	0.0105300415	0.0071496087	9.504153E-05	147.2717
20427	0.0105427397	0.0069967717	0.0001077397	181.5001
20649	0.0104552881	0.0069590585	2.028811E-05	216.8834
20541	0.0104462162	0.0069773291	1.121619E-05	249.9476
20478	0.0104438246	0.0069880537	8.824552E-06	282.9627
20349	0.0104655821	0.0070101686	3.058213E-05	328.6562
20742	0.0104407291	0.00694344	5.729065E-06	374.3665
20430	0.0105374587	0.006996258	0.0001024587	419.0401
20883	0.0106756557	0.0069199595	0.0002406557	464.2013
20883	0.0106756557	0.0069199595	0.0002406557	464.3911
29370	0.0104885133	0.0058350963	5.35133E-05	527.5354
39222	0.0104385712	0.005049346	3.571192E-06	596.8792
39873	0.0104432464	0.0050079565	8.246383E-06	675.3751
40173	0.0104386584	0.0049892224	3.658381E-06	803.6754
39678	0.0104480123	0.0050202473	1.301226E-05	890.165
39843	0.0104561091	0.0050098415	2.110906E-05	976.2127
40098	0.010438837	0.0049938862	0.000003837	1059.697
39669	0.0104745228	0.0050208168	3.952283E-05	1142.911
40809	0.0104498624	0.0049501918	1.486244E-05	1225.681
40494	0.0104401923	0.0049694081	5.192259E-06	1311.091


ZONE T="UM DG MOESS P2"
10260	0.0104378052	0.0098724813	2.805153E-06	0.08279861
15096	0.010456497	0.0081389627	0.000021497	5.988796
20076	0.010511639	0.007057671	0.000076639	15.06372
20892	0.0104405675	0.0069184689	5.56753E-06	26.58594
20826	0.0104395696	0.0069294229	4.569617E-06	38.25228
20898	0.010437544	0.0069174756	0.000002544	49.677
21228	0.0104395805	0.0068634972	4.580466E-06	61.35403
21072	0.0104684459	0.0068888562	3.344588E-05	73.53382
21306	0.0104408755	0.0068509222	5.875479E-06	89.20588
21306	0.0104381925	0.0068509222	3.19247E-06	101.856
21180	0.0104372783	0.0068712701	2.278291E-06	114.201
21180	0.0104372783	0.0068712701	2.278291E-06	114.37
29976	0.0104342761	0.0057758135	7.238847E-07	131.934
39186	0.0104958763	0.0050516649	6.087633E-05	159.7498
40296	0.0104354782	0.004981602	4.782122E-07	194.2274
40986	0.0104352508	0.0049394914	2.507824E-07	226.6502
40644	0.0104509795	0.0049602296	1.597947E-05	259.9385
41532	0.010434813	0.0049069155	0.000000187	294.9249
41592	0.0104840157	0.0049033749	4.901567E-05	333.0783
41934	0.0104357289	0.0048833388	7.288974E-07	370.3414
41304	0.0104360959	0.00492044	1.095893E-06	405.177
40956	0.0104444589	0.0049413001	9.458909E-06	450.9437
40956	0.0104444589	0.0049413001	9.458909E-06	451.2818
57468	0.010434269	0.0041714492	0.000000731	499.7734
77640	0.0104359081	0.0035888659	9.081254E-07	575.7523
79776	0.0104360899	0.0035404941	1.089867E-06	692.8346
79944	0.0104457667	0.003536772	1.076668E-05	801.6297
81984	0.0104365968	0.0034924922	1.596819E-06	924.6925
82068	0.0104393714	0.0034907044	4.371381E-06	1059.246
81636	0.0104389213	0.0034999283	3.921267E-06	1172.864
81726	0.0104427014	0.0034980006	7.701445E-06	1281.629
82830	0.0104577413	0.0034746108	2.274126E-05	1404.785
83586	0.0104502057	0.0034588619	1.520569E-05	1517.074


ZONE T="UM DG MOESS P3"
4670	0.012106085	0.0146332759	0.001671085	0.3812086
7140	0.017154369	0.0118345267	0.006719369	1.410178
10340	0.016202491	0.0098342157	0.005767491	3.468982
10600	0.018510253	0.0097128586	0.008075253	8.421237
10680	0.012598481	0.0096764125	0.002163481	35.54088
10990	0.004235501	0.0095389628	0.006199499	51.62566
10680	0.005604608	0.0096764125	0.004830392	59.70808
10740	0.0099226353	0.0096493456	0.0005123647	69.96721
10660	0.0102924034	0.0096854856	0.0001425966	80.19819
10550	0.0104113496	0.0097358477	2.365041E-05	88.88579
10730	0.0104237113	0.0096538409	1.128866E-05	96.41391
10730	0.0104237113	0.0096538409	1.128866E-05	96.52744
16240	0.0104063113	0.0078470603	2.868868E-05	105.8846
19680	0.0104328598	0.0071283244	2.14016E-06	116.0088
20230	0.0104364872	0.0070307565	1.487216E-06	127.278
20750	0.0104369109	0.0069421013	1.910946E-06	142.556
20970	0.0104641015	0.0069055899	2.910152E-05	155.9499
21370	0.0104346583	0.0068406558	3.416739E-07	169.3593
21170	0.0104353937	0.0068728928	3.937272E-07	182.1051
21240	0.0104361653	0.0068615581	1.165269E-06	194.9551
21670	0.0104356808	0.0067931397	6.807871E-07	212.5228
21800	0.0104370898	0.0067728546	2.089771E-06	212.7488
31090	0.0104354907	0.0056713916	4.907459E-07	230.3028
40190	0.0104352988	0.0049881671	2.987526E-07	256.755
41620	0.0104874156	0.0049017252	5.24156E-05	290.1317
42580	0.0104479921	0.0048461536	1.299205E-05	327.3353
41970	0.0104350075	0.004881244	7.523841E-09	363.4613
41650	0.0104351534	0.0048999596	1.533983E-07	396.2872
41240	0.0104348654	0.0049242566	1.34616E-07	430.4397
41220	0.0104351368	0.004925451	1.368167E-07	463.7646
41220	0.0104351368	0.004925451	1.368167E-07	464.1914
57330	0.0104350222	0.0041764668	2.223962E-08	503.6036
78580	0.0104517301	0.0035673358	1.673005E-05	575.9538
80770	0.0104342592	0.003518641	7.408451E-07	686.2754
81520	0.0104350142	0.0035024175	1.417803E-08	774.6498
80230	0.0104349792	0.0035304625	2.081873E-08	862.3462
79790	0.0104350786	0.0035401834	7.858928E-08	953.8381
78880	0.0104350219	0.0035605456	2.190895E-08	1038.314
78900	0.0104340174	0.0035600943	9.82587E-07	1126.924
79900	0.010434995	0.0035377457	0.000000005	1220.571
79830	0.0104350233	0.0035392964	2.328884E-08	1311.054

ZONE T="MOESS Slope 2"
0	0	2.67165843E-02	1.98E-003	0
0	0	5.83509628E-03	9.44558063840653E-05	0

ZONE T="MOESS Slope 4"
0	0	9.87248130E-03	1.67E-005	0
0	0	3.45886195E-03	0.000000252	0

ZONE T="MOESS Slope 6"
0	0	1.46332759E-02	2.56E-004	0
0	0	3.56733576E-03	5.37729389555089E-08	0

ZONE T="UM DG HangNode P1"
2048	0.005570021	0.0220970869	0.004864979	2.195491
2660	0.01690498	0.0193891684	0.00646998	4.064687
3460	0.013791203	0.01700051	0.003356203	6.7493
4532	0.01198649	0.0148543978	0.00155149	10.84454
5932	0.0112811947	0.0129837286	0.0008461947	17.71085
7744	0.0109670471	0.0113636364	0.0005320471	32.10484
10080	0.0107783663	0.0099602384	0.0003433663	48.15234
13116	0.0106711945	0.0087317099	0.0002361945	98.9372
17184	0.0105708012	0.0076284775	0.0001358012	136.6107
22424	0.0105200073	0.0066779545	8.500734E-05	199.6796
29268	0.0104982895	0.0058452552	6.328945E-05	296.4218

ZONE T="UM DG HangNode P2"
4608	0.012720135	0.0147313913	0.002285135	5.23124
5985	0.0107627261	0.0129261122	0.0003277261	11.81817
7839	0.010525135	0.0112945691	0.000090135	21.19858
10260	0.0104679671	0.0098724813	3.29671E-05	33.95962
13410	0.0104617711	0.0086354627	2.677107E-05	55.33687
17595	0.0104541849	0.0075388546	1.918488E-05	89.7476
23031	0.0104429316	0.0065893656	7.93157E-06	140.6162
30078	0.0104397619	0.0057660117	4.761935E-06	223.1162
39231	0.0104383366	0.0050487668	3.336564E-06	289.5156
51174	0.0104387422	0.0044205399	3.742193E-06	454.4295
66744	0.0104373347	0.003870739	2.334744E-06	639.4065


ZONE T="UM DG HangNode P3"
8192	0.0109541691	0.0110485435	0.0005191691	12.31597
10640	0.0105241485	0.0096945842	8.914846E-05	31.79538
14032	0.0104845834	0.0084419002	4.958342E-05	60.31497
18496	0.0104579246	0.0073529412	2.292458E-05	100.1482
24368	0.0104512855	0.0064060461	1.628552E-05	163.688
31984	0.0104423512	0.005591568	7.351223E-06	256.1646


ZONE T="UM DG P Adapt"
8192	0 	0.0110485435	0.003034811	9.092455
9212	0	0.010418928	0.0002176109	18.7507
10388	0	0.0098114689	0.0001117052	29.64197
11616	0	0.0092783702	4.476738E-05	44.30428
12928	0	0.0087949693	2.031328E-05	60.32437
14292	0	0.0083647602	1.258457E-05	80.40094
15684	0	0.0079849386	0.000008194	107.5536
17052	0	0.0076579467	0.000005347	138.9874
18380	0	0.0073761077	0.000003183	176.7109
19824	0	0.0071023874	1.906739E-06	219.7507
21328	0	0.0068473879	1.157783E-06	274.2546



ZONE T="Cd exact"
0	0.0104325566	1e-6	0	0
0	0.0104325566	1	0	0
